-2	0
-1.99	0
-1.98	0
-1.97	0
-1.96	0
-1.95	0
-1.94	0
-1.93	0
-1.92	0
-1.91	0
-1.9	0
-1.89	0
-1.88	0
-1.87	0
-1.86	0
-1.85	0
-1.84	0
-1.83	0
-1.82	0
-1.81	0
-1.8	0
-1.79	0
-1.78	0
-1.77	0
-1.76	0
-1.75	0
-1.74	0
-1.73	0
-1.72	0
-1.71	0
-1.7	0
-1.69	0
-1.68	0
-1.67	0
-1.66	0
-1.65	0
-1.64	0
-1.63	0
-1.62	0
-1.61	0
-1.6	0
-1.59	0
-1.58	0
-1.57	0
-1.56	0
-1.55	0
-1.54	0
-1.53	0
-1.52	0
-1.51	0
-1.5	0
-1.49	0
-1.48	0
-1.47	0
-1.46	0
-1.45	0
-1.44	0
-1.43	0
-1.42	0
-1.41	0
-1.4	0
-1.39	0
-1.38	0
-1.37	0
-1.36	0
-1.35	0
-1.34	0
-1.33	0
-1.32	0
-1.31	0
-1.3	0
-1.29	0
-1.28	0
-1.27	0
-1.26	0
-1.25	0
-1.24	0
-1.23	0
-1.22	0
-1.21	0
-1.2	0
-1.19	0
-1.18	0
-1.17	0
-1.16	0
-1.15	0
-1.14	0
-1.13	0
-1.12	0
-1.11	0
-1.1	0
-1.09	0
-1.08	0
-1.07	0
-1.06	0
-1.05	0
-1.04	0
-1.03	0
-1.02	0
-1.01	0
-1	0
-0.99	0
-0.98	0
-0.97	0
-0.96	0.82
-0.95	0.2
-0.94	0.1
-0.93	0.08
-0.92	0.34
-0.91	0.3
-0.9	0.3
-0.89	0.18
-0.88	0.3
-0.87	0.32
-0.86	0.16
-0.85	0.32
-0.84	0.32
-0.83	0.8
-0.82	0.52
-0.81	0.46
-0.8	0.36
-0.79	0.48
-0.78	1.12
-0.77	1.5
-0.76	1
-0.75	1.06
-0.74	0.78
-0.73	1.12
-0.72	1
-0.71	1.06
-0.7	1.72
-0.69	1.36
-0.68	1.42
-0.67	2.02
-0.66	2.54
-0.65	1.92
-0.64	2.78
-0.63	2.54
-0.62	3.18
-0.61	2.86
-0.6	3.22
-0.59	2.98
-0.58	4.14
-0.57	4.08
-0.56	5
-0.55	4.52
-0.54	5.76
-0.53	6.06
-0.52	6.22
-0.51	6.6
-0.5	6.34
-0.49	7.02
-0.48	7.72
-0.47	8.04
-0.46	8.34
-0.45	8.66
-0.44	8.24
-0.43	9.3
-0.42	10.74
-0.41	10.06
-0.4	11.34
-0.39	11.34
-0.38	11.54
-0.37	10.76
-0.36	10.72
-0.35	11.56
-0.34	13.06
-0.33	12.18
-0.32	12.96
-0.31	13.38
-0.3	14.46
-0.29	15.1
-0.28	15.78
-0.27	16.64
-0.26	16.14
-0.25	18.82
-0.24	18.96
-0.23	19.18
-0.22	19.98
-0.21	20.26
-0.2	21.28
-0.19	22.06
