0	0.0298507
0.015	0.0298507
0.03	0.0895522
0.045	0.0298507
0.06	0.0447761
0.075	0.0447761
0.09	0.0149254
0.105	0.0597015
0.12	0.0447761
0.135	0.134328
0.15	0.0298507
0.165	0.0746269
0.18	0.0298507
0.195	0.0447761
0.21	0.0447761
0.225	0.0895522
0.24	0.0895522
0.255	0.0447761
0.27	0.0895522
0.285	0.0447761
0.3	0.104478
0.315	0.0298507
0.33	0.0895522
0.345	0.104478
0.36	0.0298507
0.375	0.0895522
0.39	0.0149254
0.405	0.0447761
0.42	0.0895522
0.435	0.0447761
0.45	0.0895522
0.465	0.149254
0.48	0.0447761
0.495	0.0895522
0.51	0.104478
0.525	0.0298507
0.54	0.0149254
0.555	0.104478
0.57	0.0447761
0.585	0.0298507
0.6	0.0597015
0.615	0.0746269
0.63	0.0597015
0.645	0.104478
0.66	0.0447761
0.675	0
0.69	0.0746269
0.705	0.119403
0.72	0.0447761
0.735	0.0447761
0.75	0.0746269
0.765	0.0746269
0.78	0.0149254
0.795	0.0298507
0.81	0.0746269
0.825	0.0149254
0.84	0.0298507
0.855	0.0298507
0.87	0.0895522
0.885	0.0746269
0.9	0.0149254
0.915	0.0597015
0.93	0.0447761
0.945	0.0149254
0.96	0.0149254
0.975	0.0597015
0.99	0
